dataset,primary_dataset,minp_gev,maxp_gev,depth,nfiles_total,nfiles_read,nlumis,events_tried,events_passed,events_stored,efficiency,efficiency_err,only_filter_is_cosmicInTracker,status
/CosmicToMu_Par-MinP-50000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-50000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen,50000,,e6,50,5,153,1379295,18448,18448,0.01337495,0.00009781,yes,ok
/CosmicToMu_Par-MinP-50000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-50000-MinTheta-91-MaxTheta-179_cosmuogen,50000,,none,51,5,25,1803825,24587,24587,0.01363048,0.00008633,yes,ok
/CosmicToMu_Par-MinP-55000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-55000-MinTheta-91-MaxTheta-179_cosmuogen,55000,,none,49,5,21,1617336,21839,21839,0.01350307,0.00009075,yes,ok
/CosmicToMu_Par-MinP-60000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-60000-MinTheta-91-MaxTheta-179-SurfaceDepth-e2_cosmuogen,60000,,e2,34,5,35,2716455,36777,36777,0.01353860,0.00007012,yes,ok
/CosmicToMu_Par-MinP-60000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-60000-MinTheta-91-MaxTheta-179-SurfaceDepth-e3_cosmuogen,60000,,e3,83,5,49,1170904,16006,16006,0.01366978,0.00010731,yes,ok
/CosmicToMu_Par-MinP-60000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-60000-MinTheta-91-MaxTheta-179-SurfaceDepth-e4_cosmuogen,60000,,e4,51,5,25,1931175,25613,25613,0.01326291,0.00008232,yes,ok
/CosmicToMu_Par-MinP-60000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-60000-MinTheta-91-MaxTheta-179-SurfaceDepth-e5_cosmuogen,60000,,e5,42,5,30,2265720,30067,30067,0.01327040,0.00007602,yes,ok
/CosmicToMu_Par-MinP-60000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v1/GEN-SIM-RECO,CosmicToMu_Par-MinP-60000-MinTheta-91-MaxTheta-179-SurfaceDepth-e6_cosmuogen,60000,,e6,37,5,371,2944256,39500,39500,0.01341595,0.00006705,yes,ok
/CosmicToMu_Par-MinP-60000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-60000-MinTheta-91-MaxTheta-179_cosmuogen,60000,,none,47,5,30,2160870,29284,29284,0.01355195,0.00007865,yes,ok
/CosmicToMu_Par-MinP-65000-MinTheta-91-MaxTheta-179_cosmuogen/RunIII2024Summer24DR-140X_mcRun3_2024cosmics_realistic_deco_v14-v2/GEN-SIM-RECO,CosmicToMu_Par-MinP-65000-MinTheta-91-MaxTheta-179_cosmuogen,65000,,none,58,5,20,1369860,18930,18930,0.01381893,0.00009974,yes,ok
